,index,Coef_Ridge,Coef_Lasso,Coef_Elastic,FI_GBM,PI_XGB,Average,Avg_Abs
26,PavedDrive_Yes,0.039971663651060696,0.0,0.005496725510708514,0.003521508954783659,0.00023669518742497342,0.05733991101758409,0.05733991101758409
68,Foundation_Oth,-0.04188947615199466,-0.0,-0.0,0.0016433454731811933,0.003776798097244893,-0.05654751989836327,0.05654751989836327
27,MasVnrType_Oth,0.01630952882237944,0.0,0.005749414589432872,0.000564671759359543,5.709623357716964e-05,0.05606111655017923,0.05606111655017923
28,BldgType_1Fam,0.06336391911260388,0.05542215162742284,0.0537345039989238,0.002206000340582071,0.0004781780185940221,0.05291964724825998,0.05291964724825998
29,GarageType_Attchd,-0.10195910135495774,0.0,0.0,0.006718857117829219,0.00028634054427683074,0.05262642977114295,0.05262642977114295
30,Electrical_Yes,-0.008360885259845945,0.0,0.0,0.0009380639097576032,0.000548520678483011,0.04865602669198802,0.04865602669198802
67,2Story_Y,-0.14965411233760587,-0.12942333610227158,-0.1636491433433354,0.0011927659098606384,0.0016687557880485037,-0.047691440338643164,0.047691440338643164
66,Age,-0.026079106678035566,-0.0,-0.0,0.0032536725944142145,0.003638981610962344,-0.04484943963146187,0.04484943963146187
31,BsmtQual_Gd,-0.35817748957929463,0.0,0.0,0.03829490418016226,0.00028415167998134815,0.04466158939360401,0.04466158939360401
32,LotShape_IR1,0.028247997637088653,0.0,0.0,0.0005452734644810636,0.00017317656545496886,0.04458597384529662,0.04458597384529662
65,LotShape_Reg,0.028330753214072375,-0.0,-0.0011414024885622682,0.0015459189037253618,0.0005475016708090142,-0.042384306961366636,0.042384306961366636
64,BldgType_Oth,-0.06336391911258767,-0.0,-0.05368097655703405,0.00247233133712778,0.003389669107342197,-0.042249337602763504,0.042249337602763504
33,NeighType_3,-0.0059741582293467745,0.017150231319524284,0.015335001496956904,0.006812076102491625,0.006738449093778342,0.04179519863965662,0.04179519863965662
34,RoofStyle_Oth,0.01754448416241672,0.0,0.01811432799765939,0.0009412103781295979,0.0001563206197243705,0.03883688340904915,0.03883688340904915
63,Fence_Yes,-0.03782898401488124,-0.0,-0.022586155955976305,0.0003871232584741813,0.0003769816993540287,-0.03826377730604301,0.03826377730604301
62,RoofStyle_Gable,-0.017544484162415712,-0.0,-0.018254766302502085,0.003821284247087741,0.00031704590477583673,-0.03798764626823651,0.03798764626823651
35,OverallCond,0.12997010414981686,0.10600907295297661,0.12299942462832482,0.007703501192607757,0.023547372247870957,0.036874730877893225,0.036874730877893225
61,BsmtFinType1_LwQ,-0.10476496717994373,-0.0,-0.020341402704995504,0.00014083965018011268,0.00015645961751933334,-0.0355995272705188,0.0355995272705188
60,ExterCond_Gd,-0.06064177558212678,-0.0,-0.032005295308231846,0.0002992791331386889,0.00012395285303414826,-0.03542036378369238,0.03542036378369238
59,LotShape_IR3,-0.22088168702015326,-0.0,-0.0,0.00012079643509925353,0.00035111152360149943,-0.031823411347649606,0.031823411347649606
36,MasVnrType_Brick,-0.015746923578841762,-0.0,-0.013315710390813041,0.00020242745517826447,0.0002940865158381989,0.031216891966089944,0.031216891966089944
58,BsmtFinType1_BLQ,-0.03876121711424206,-0.0,-0.0,0.00013306916288355146,0.00040721805605044016,-0.029375156430527623,0.029375156430527623
37,Exterior_CemntBd,0.07819357469572794,0.0,0.0,0.0008216711461084195,0.00017178511033288935,0.02743457970081167,0.02743457970081167
57,BsmtFinType1_Rec,-0.028426893082665623,0.0,0.0,0.0001510537822556857,0.00020053918226630162,-0.026566978825097353,0.026566978825097353
38,ExterCond_Avg,0.006708360762723708,0.0,0.015948233426188122,0.0003310407331742193,0.00019151488305504393,0.02418271970113763,0.02418271970113763
56,BsmtFinType1_ALQ,-0.0390842616140039,0.0,-0.0,0.0004176679916297507,0.00046330939465857315,-0.02017707013329716,0.02017707013329716
55,Exterior_HdBoard,0.017530407596349943,-0.0,-0.049159851752386914,0.00046008281020516143,0.00045633391306409976,-0.019309603205090595,0.019309603205090595
54,Exterior_Wd Sdng,0.06575546847655546,-0.0,-0.0017408660925368224,0.00029070283361305374,0.00023567718150208083,-0.01897755988338777,0.01897755988338777
53,GarageType_None,0.20713313218058024,-0.0,0.0,0.007407345843622006,0.0021316338768231136,-0.018647617043859765,0.018647617043859765
39,BedroomAbvGr,-0.004642569765477593,-0.0,-0.00718215987059874,0.007179969701647699,0.006468133549057708,0.0170030817161891,0.0170030817161891
40,LandSlope_Oth,0.027542484426368627,0.0,0.012869732369324467,0.0009828392415389554,2.2561464955783706e-05,0.016335090919930958,0.016335090919930958
52,LandSlope_Gtl,-0.027542484426392285,-0.0,-0.012878214749734317,0.0013969980448489828,0.0008613536690792011,-0.015792545913266055,0.015792545913266055
41,LotConfig_Oth,0.005536784705832645,0.0,0.0017514616489939577,9.466578071971503e-05,0.00019419487508056665,0.015388552875248611,0.015388552875248611
51,LotConfig_Inside,-0.005536784705829784,-0.0,-0.001812463016436334,0.00014921514052252188,0.0002901633689159855,-0.015277346575615407,0.015277346575615407
42,Exterior_Other,0.10132650087171143,0.0,0.007392301072385103,0.0008787014828777401,0.0007789332353698164,0.0151454004425226,0.0151454004425226
43,BsmtFinType1_None,0.23714481451895972,-0.0,0.0,0.0029925357832330164,0.00021633594522527667,0.014416456515882426,0.014416456515882426
44,MoSold,0.002746984511256606,0.0,0.0018164346073001525,0.0019498668689701152,0.004732395895147778,0.012678695435409676,0.012678695435409676
50,YrSold,-0.01851652167911919,-0.010591237179534167,-0.01698121031385135,0.0009678201539155438,0.0022914349711853355,-0.012575153792657688,0.012575153792657688
49,Exterior_MetalSd,0.09811525357118875,0.0,0.002581120761012583,0.0001787099139994621,0.00036976787465514693,-0.012039724360999584,0.012039724360999584
45,ExterCond_Ex,0.05393341481949463,0.0,0.0,2.0203221999873447e-05,0.0,0.005783134096531704,0.005783134096531704
46,Exterior_WdShing,0.09121657321456984,0.0,-0.0,4.9304229932024654e-05,4.992119158944153e-05,0.0039041623789701544,0.0039041623789701544
47,LandContour_Oth,-0.0059191427989963045,0.0,0.0,0.0006477816265859363,0.00010409543052500859,0.003399574322685173,0.003399574322685173
48,LandContour_Lvl,0.0059191427989798125,-0.0,-0.0,0.000664628564087804,0.0005282926378073593,-0.003075441279520238,0.003075441279520238
